,count,mean,std,min,25%,50%,75%,max,variance
sensor_1,24720.0,518.67,0.0,518.67,518.67,518.67,518.67,518.67,0.0
sensor_2,24720.0,642.4578580097087,0.5230311380083125,640.84,642.08,642.4,642.79,645.11,0.2735615713262704
sensor_3,24720.0,1588.0791751618121,6.810418054769426,1564.3,1583.28,1587.52,1592.4125000000001,1615.39,46.38179408072937
sensor_4,24720.0,1404.4712123786408,9.773178327387521,1377.06,1397.1875,1402.91,1410.6,1441.16,95.51501461891714
sensor_5,24720.0,14.620000000000003,3.55278554007621e-15,14.62,14.62,14.62,14.62,14.62,1.262228509377461e-29
sensor_6,24720.0,21.595841019417477,0.018116000048510272,21.45,21.58,21.6,21.61,21.61,0.0003281894577576242
sensor_7,24720.0,555.1438078478965,3.4373428742748646,549.61,553.11,554.05,556.04,570.49,11.815326035328187
sensor_8,24720.0,2388.0715546116508,0.1582849283520036,2386.9,2388.0,2388.07,2388.14,2388.6,0.025054118543398913
sensor_9,24720.0,9064.110809061489,19.980294309113177,9017.98,9051.92,9060.01,9070.0925,9234.35,399.2121606787804
sensor_10,24720.0,1.3012317961165052,0.0034848490401647348,1.29,1.3,1.3,1.3,1.32,1.2144172832737072e-05
sensor_11,24720.0,47.415706715210355,0.30007416142325294,46.69,47.19,47.36,47.6,48.44,0.09004450235386847
sensor_12,24720.0,523.0508725728155,3.2553139774429254,517.77,521.15,521.98,523.84,537.4,10.59706909173528
sensor_13,24720.0,2388.0716432038835,0.15812066988897275,2386.93,2388.01,2388.07,2388.14,2388.61,0.02500214624613749
sensor_14,24720.0,8144.202916262136,16.504117682690822,8099.68,8134.51,8141.2,8149.23,8290.55,272.3859004841078
sensor_15,24720.0,8.396175784789644,0.06051161367848584,8.1563,8.3606,8.3983,8.437,8.5705,0.0036616553899743148
sensor_16,24720.0,0.030000000000000016,1.7347585644903372e-17,0.03,0.03,0.03,0.03,0.03,3.009387277072575e-34
sensor_17,24720.0,392.5665453074434,1.7614585070963218,388.0,391.0,392.0,394.0,399.0,3.1027360722220028
sensor_18,24720.0,2388.0,0.0,2388.0,2388.0,2388.0,2388.0,2388.0,0.0
sensor_19,24720.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
sensor_20,24720.0,38.98855177993528,0.2488646946032721,38.17,38.83,38.99,39.14,39.85,0.06193363621997989
sensor_21,24720.0,23.393024037216826,0.1492337880155161,22.8726,23.2962,23.3916,23.4833,23.9505,0.022270723485459998
